voc_tag,ticket_count
voc_theoretical_question-language_support,66
voc_cancel-unexpected_charges_upsells,17
voc_cancel-legal_threat,2
voc_deletion-legal_threat,85
voc_refund-general_dissatisfaction,108
voc_cancel-magic_link_issue,4
voc_refund-email_not_received,8
voc_issues-broken_content,24
voc_refund-broken_content,2
voc_cancel-missing_content,2
voc_issues-magic_link_issue,74
voc_cancel-unaware_of_subscription,43
voc_refund-not_interactive,2
voc_cancel-unexpected_charges,43
voc_feedback-content_too_easy,1
voc_refund-too_boring,2
voc_refund-general_login_issue,19
voc_issues-bug,16
voc_refund-smth_went_wrong_screen,1
voc_refund-missing_content,4
voc_issues-audio_issues,86
voc_feedback-audio_feedback,3
voc_cancel-expected_a_trial,18
voc_deletion-no_reason,327
voc_feedback-other,20
voc_feedback-ai_dissatisfaction,1
voc_theoretical_question-discount_request,55
voc_refund-bug,6
voc_refund-expected_a_trial,65
voc_refund-content_too_easy,8
voc_refund-ai_dissatisfaction,2
voc_refund-no_longer_interested,111
voc_cancel-green_screen_freeze,3
voc_issues-smth_went_wrong_screen,7
voc_cancel-false_ad,4
voc_cancel-mistyped_email,4
voc_refund-mistyped_email,1
voc_issues-general_login_issue,69
voc_cancel-upset_with_autorenewal,43
voc_cancel-no_longer_interested,274
voc_refund-paid_but_no_access,46
voc_issues-mistyped_email,12
voc_deletion-no_longer_interested,7
voc_issues-email_not_received,60
voc_cancel-bank_threat,12
voc_feedback-ux_feedback,6
voc_refund-unauthorized_claims,808
voc_cancel-unauthorized_claims,199
voc_issues-content_mistakes,40
voc_deletion-unauthorized_claims,5
voc_cancel-no_reason,259
voc_theoretical_question-course_request,58
voc_refund-no_reason,86
voc_refund-content_dissatisfaction,11
voc_issues-green_screen_freeze,7
voc_deletion-email_not_received,1
voc_cancel-paid_but_no_access,10
voc_cancel-email_not_received,11
voc_cancel-content_dissatisfaction,2
voc_refund-video_issues,1
voc_refund-unexpected_charges_upsells,246
voc_cancel-money_back_guarantee,1
voc_refund-false_ad,20
voc_cancel-general_dissatisfaction,94
voc_refund-upset_with_autorenewal,95
voc_feedback-missing_content,1
voc_cancel-general_login_issue,45
voc_refund-font_size,1
voc_issues-paid_but_no_access,117
voc_refund-legal_threat,10
voc_deletion-general_dissatisfaction,1
voc_issues-other,337
voc_theoretical_question-no_details,138
voc_cancel-bug,7
voc_refund-bank_threat,43
voc_feedback-not_interactive,1
voc_refund-unexpected_charges,317
voc_refund-money_back_guarantee,30
voc_refund-magic_link_issue,10
voc_refund-unaware_of_subscription,55
voc_refund-feature_request,1
voc_issues-daily_streaks,1
voc_theoretical_question-font_size,1
